
 LIST ALL SELECTED NODES.   DSYS=      0

   NODE        X           Y           Z         THXY    THYZ    THZX
       1    0.0000     0.10000E-01  0.0000        0.00    0.00    0.00
       2    0.0000      0.0000      0.0000        0.00    0.00    0.00
       3    0.0000     0.93333E-02  0.0000        0.00    0.00    0.00
       4    0.0000     0.86667E-02  0.0000        0.00    0.00    0.00
       5    0.0000     0.80000E-02  0.0000        0.00    0.00    0.00
       6    0.0000     0.73333E-02  0.0000        0.00    0.00    0.00
       7    0.0000     0.66667E-02  0.0000        0.00    0.00    0.00
       8    0.0000     0.60000E-02  0.0000        0.00    0.00    0.00
       9    0.0000     0.53333E-02  0.0000        0.00    0.00    0.00
      10    0.0000     0.46667E-02  0.0000        0.00    0.00    0.00
      11    0.0000     0.40000E-02  0.0000        0.00    0.00    0.00
      12    0.0000     0.33333E-02  0.0000        0.00    0.00    0.00
      13    0.0000     0.26667E-02  0.0000        0.00    0.00    0.00
      14    0.0000     0.20000E-02  0.0000        0.00    0.00    0.00
      15    0.0000     0.13333E-02  0.0000        0.00    0.00    0.00
      16    0.0000     0.66670E-03  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      17   0.20000E-01  0.0000      0.0000        0.00    0.00    0.00
      47   0.20000E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      48   0.20000E-01 0.66670E-03  0.0000        0.00    0.00    0.00
      49   0.20000E-01 0.13333E-02  0.0000        0.00    0.00    0.00
      50   0.20000E-01 0.20000E-02  0.0000        0.00    0.00    0.00
      51   0.20000E-01 0.26667E-02  0.0000        0.00    0.00    0.00
      52   0.20000E-01 0.33333E-02  0.0000        0.00    0.00    0.00
      53   0.20000E-01 0.40000E-02  0.0000        0.00    0.00    0.00
      54   0.20000E-01 0.46667E-02  0.0000        0.00    0.00    0.00
      55   0.20000E-01 0.53333E-02  0.0000        0.00    0.00    0.00
      56   0.20000E-01 0.60000E-02  0.0000        0.00    0.00    0.00
      57   0.20000E-01 0.66667E-02  0.0000        0.00    0.00    0.00
      58   0.20000E-01 0.73333E-02  0.0000        0.00    0.00    0.00
      59   0.20000E-01 0.80000E-02  0.0000        0.00    0.00    0.00
      60   0.20000E-01 0.86667E-02  0.0000        0.00    0.00    0.00
      61   0.20000E-01 0.93333E-02  0.0000        0.00    0.00    0.00
