
 LIST ALL SELECTED NODES.   DSYS=      0

   NODE        X           Y           Z         THXY    THYZ    THZX
       2    0.0000      0.0000      0.0000        0.00    0.00    0.00
      17   0.20000E-01  0.0000      0.0000        0.00    0.00    0.00
      18   0.66660E-03  0.0000      0.0000        0.00    0.00    0.00
      19   0.13334E-02  0.0000      0.0000        0.00    0.00    0.00
      20   0.20000E-02  0.0000      0.0000        0.00    0.00    0.00
      21   0.26666E-02  0.0000      0.0000        0.00    0.00    0.00
      22   0.33334E-02  0.0000      0.0000        0.00    0.00    0.00
      23   0.40000E-02  0.0000      0.0000        0.00    0.00    0.00
      24   0.46666E-02  0.0000      0.0000        0.00    0.00    0.00
      25   0.53334E-02  0.0000      0.0000        0.00    0.00    0.00
      26   0.60000E-02  0.0000      0.0000        0.00    0.00    0.00
      27   0.66666E-02  0.0000      0.0000        0.00    0.00    0.00
      28   0.73334E-02  0.0000      0.0000        0.00    0.00    0.00
      29   0.80000E-02  0.0000      0.0000        0.00    0.00    0.00
      30   0.86666E-02  0.0000      0.0000        0.00    0.00    0.00
      31   0.93334E-02  0.0000      0.0000        0.00    0.00    0.00
      32   0.10000E-01  0.0000      0.0000        0.00    0.00    0.00
      33   0.10667E-01  0.0000      0.0000        0.00    0.00    0.00
      34   0.11333E-01  0.0000      0.0000        0.00    0.00    0.00
      35   0.12000E-01  0.0000      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      36   0.12667E-01  0.0000      0.0000        0.00    0.00    0.00
      37   0.13333E-01  0.0000      0.0000        0.00    0.00    0.00
      38   0.14000E-01  0.0000      0.0000        0.00    0.00    0.00
      39   0.14667E-01  0.0000      0.0000        0.00    0.00    0.00
      40   0.15333E-01  0.0000      0.0000        0.00    0.00    0.00
      41   0.16000E-01  0.0000      0.0000        0.00    0.00    0.00
      42   0.16667E-01  0.0000      0.0000        0.00    0.00    0.00
      43   0.17333E-01  0.0000      0.0000        0.00    0.00    0.00
      44   0.18000E-01  0.0000      0.0000        0.00    0.00    0.00
      45   0.18667E-01  0.0000      0.0000        0.00    0.00    0.00
      46   0.19333E-01  0.0000      0.0000        0.00    0.00    0.00
