
 LIST ALL SELECTED NODES.   DSYS=      0

   NODE        X           Y           Z         THXY    THYZ    THZX
       1    0.0000     0.10000E-01  0.0000        0.00    0.00    0.00
      47   0.20000E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      62   0.19333E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      63   0.18667E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      64   0.18000E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      65   0.17333E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      66   0.16667E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      67   0.16000E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      68   0.15333E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      69   0.14667E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      70   0.14000E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      71   0.13333E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      72   0.12667E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      73   0.12000E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      74   0.11333E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      75   0.10667E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      76   0.10000E-01 0.10000E-01  0.0000        0.00    0.00    0.00
      77   0.93334E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      78   0.86666E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      79   0.80000E-02 0.10000E-01  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      80   0.73334E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      81   0.66666E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      82   0.60000E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      83   0.53334E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      84   0.46666E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      85   0.40000E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      86   0.33334E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      87   0.26666E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      88   0.20000E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      89   0.13334E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      90   0.66660E-03 0.10000E-01  0.0000        0.00    0.00    0.00
